iter	Passed	Remaining
0	0	93
1	1	86
2	2	86
3	3	81
4	4	80
5	5	81
6	6	79
7	6	79
8	7	79
9	8	79
10	9	77
11	10	77
12	11	76
13	12	75
14	13	74
15	14	73
16	14	72
17	15	71
18	16	69
19	17	69
20	18	68
21	19	68
22	20	68
23	21	67
24	22	66
25	23	65
26	24	65
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	55
37	33	54
38	34	53
39	35	52
40	35	51
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	43
49	42	42
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	36
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	63	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	76	9
89	77	8
90	78	7
91	80	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	86	0
